ETF,ETF_Display_Name,Sector,Representative_Stock_Ticker,Representative_Company_Name,Why_Selected,Permno,Date,Open,High,Low,Close,Price,Return,Volume
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-07-07,240.19,247.8,240.11,245.18,245.18,0.019121,2903972.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-07-10,244.51,249.36,244.09,248.81,248.81,0.014805,2771882.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-07-11,249.84,254.47,249.84,252.85,252.85,0.016237,3294783.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-07-12,255.49,257.64,251.44,253.6,253.6,0.002966,2986445.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-07-13,254.56,256.46,252.74,255.86,255.86,0.008912,1949520.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-07-14,256.48,256.48,252.91,255.62,255.62,-0.000938,1936998.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-07-17,254.27,258.85,252.01,257.46,257.46,0.007198,2674932.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-07-18,257.63,264.16,256.93,263.81,263.81,0.024664,3833380.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-07-19,260.14,262.92,259.7,262.75,262.75,0.00091,2771896.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-07-20,264.17,265.4,260.44,261.09,261.09,-0.006318,2102305.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-07-21,261.75,261.76,257.51,257.65,257.65,-0.013176,2249852.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-07-24,258.3,262.44,258.1,259.37,259.37,0.006676,2195493.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-07-25,260.1,263.88,259.44,262.06,262.06,0.010371,2016647.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-07-26,260.53,262.54,257.25,258.32,258.32,-0.014272,2622804.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-07-27,258.97,261.1,256.8226,258.3,258.3,-7.7e-05,2284531.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-07-28,259.93,262.98,258.99,260.43,260.43,0.008246,2104855.0
XLI,XLI (Industrials),Industrials,CAT,CATERPILLAR INC,Representative large-cap industrial stock,18542,2023-07-31,262.75,265.21,261.66,265.17,265.17,0.018201,3576780.0
