ETF,ETF_Display_Name,Sector,Representative_Stock_Ticker,Representative_Company_Name,Why_Selected,Permno,Date,Open,High,Low,Close,Price,Return,Volume,Growth_Index,Cumulative_Return,Running_Peak,Drawdown
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-04-27,115.62,117.01,114.8818,116.83,116.83,0.011953,16279188.0,3.1525154518343315,2.1525154518343315,3.1910153458471266,-0.0120650920914247
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-04-28,117.25,119.92,116.83,118.34,118.34,0.012925,24381946.0,3.1932617140492905,2.1932617140492905,3.1932617140492905,0.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-05-01,115.99,117.3,114.45,114.67,114.67,-0.031012,17354987.0,3.094232281773194,2.094232281773194,3.1932617140492905,-0.03101199999999993
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-05-02,113.94,113.94,109.29,110.1,110.1,-0.039854,24324102.0,2.970914748415405,1.9709147484154048,3.1932617140492905,-0.0696300477520001
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-05-03,109.08,109.81,107.755,107.93,107.93,-0.019709,16212343.0,2.9123609896388856,1.9123609896388856,3.1932617140492905,-0.08796670914085591
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-05-04,107.9,108.75,105.91,106.04,106.04,-0.017511,17177150.0,2.8613626363493188,1.8613626363493188,3.1932617140492905,-0.10393732409709044
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-05-05,108.55,109.43,107.53,108.68,108.68,0.024896,14968197.0,2.9325991205438715,1.9325991205438715,3.1932617140492905,-0.0816289477178116
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-05-08,110.5,110.97,109.04,109.11,109.11,0.003957,11187752.0,2.9442034152638636,1.9442034152638636,3.1932617140492905,-0.07799495346393093
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-05-09,108.34,110.23,108.21,109.14,109.14,0.000275,11370769.0,2.945013071203061,1.945013071203061,3.1932617140492905,-0.07774140207613356
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2023-05-10,109.74,110.01,106.71,107.74,107.74,-0.012828,14884793.0,2.9072344435256685,1.9072344435256685,3.1932617140492905,-0.08957213537030084
